index,feature,importance
24,ORGANIZATION_TYPE,5504
74,EXT_SOURCE_1,2304
2,EXT_SOURCE_2,2298
42,EXT_SOURCE_3,2298
105,AMT_ANNUITY,1121
10,DAYS_BIRTH,1108
6,AMT_CREDIT,1015
524,MAX(bureau.DAYS_CREDIT),906
27,DAYS_ID_PUBLISH,727
95,DAYS_EMPLOYED,723
900,SUM(previous_app.MIN(installments.AMT_PAYMENT)),694
92,AMT_GOODS_PRICE,676
1552,MEAN(previous_app.MIN(installments.AMT_PAYMENT)),657
26,DAYS_REGISTRATION,609
132,MAX(bureau.DAYS_CREDIT_ENDDATE),591
382,MAX(bureau.DAYS_ENDDATE_FACT),572
3,OCCUPATION_TYPE,556
349,MEAN(bureau.AMT_CREDIT_SUM_DEBT),517
557,SKEW(bureau.DAYS_CREDIT_ENDDATE),510
325,MODE(previous_app.PRODUCT_COMBINATION),506
118,OWN_CAR_AGE,495
60,CODE_GENDER,479
59,DAYS_LAST_PHONE_CHANGE,461
217,MIN(installments.AMT_PAYMENT),451
506,MIN(bureau.AMT_CREDIT_SUM),403
502,MEAN(bureau.DAYS_CREDIT),403
153,MEAN(bureau.AMT_CREDIT_SUM),396
1230,MEAN(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),392
134,SUM(bureau.AMT_CREDIT_SUM),383
318,MEAN(previous_app.HOUR_APPR_PROCESS_START),366
272,MAX(bureau.AMT_CREDIT_SUM),360
224,SKEW(bureau.DAYS_CREDIT_UPDATE),358
361,SKEW(bureau.DAYS_CREDIT),351
198,MAX(installments.DAYS_ENTRY_PAYMENT),348
156,SKEW(installments.DAYS_ENTRY_PAYMENT),345
31,REGION_POPULATION_RELATIVE,339
168,MAX(bureau.DAYS_CREDIT_UPDATE),333
225,SKEW(bureau.AMT_CREDIT_SUM),329
5,AMT_INCOME_TOTAL,327
274,SUM(bureau.DAYS_CREDIT_ENDDATE),322
1049,MEAN(previous_app.COUNT(cash)),321
477,SUM(bureau.AMT_CREDIT_SUM_DEBT),318
232,SKEW(cash.CNT_INSTALMENT),314
288,SKEW(installments.AMT_PAYMENT),306
355,MEAN(bureau.AMT_CREDIT_MAX_OVERDUE),303
314,MEAN(previous_app.CNT_PAYMENT),301
1357,MAX(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),287
473,SUM(previous_app.AMT_DOWN_PAYMENT),285
135,STD(bureau.DAYS_CREDIT),284
1527,MEAN(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),283
353,STD(previous_app.CNT_PAYMENT),277
182,MEAN(bureau.DAYS_CREDIT_ENDDATE),270
410,SKEW(cash.CNT_INSTALMENT_FUTURE),268
221,MEAN(bureau.DAYS_CREDIT_UPDATE),267
310,MAX(cash.SK_ID_CURR),262
185,MIN(bureau.DAYS_CREDIT_ENDDATE),260
320,STD(bureau.DAYS_ENDDATE_FACT),258
258,MAX(previous_app.DAYS_DECISION),256
162,MEAN(previous_app.SELLERPLACE_AREA),254
54,NAME_FAMILY_STATUS,254
1599,MEAN(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),252
421,STD(bureau.DAYS_CREDIT_ENDDATE),248
286,SKEW(previous_app.HOUR_APPR_PROCESS_START),247
48,TOTALAREA_MODE,245
494,MEAN(bureau.DAYS_ENDDATE_FACT),244
765,MAX(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),242
471,MAX(previous_app.RATE_DOWN_PAYMENT),239
296,STD(previous_app.HOUR_APPR_PROCESS_START),237
796,SUM(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),236
183,SUM(installments.AMT_PAYMENT),230
940,MEAN(previous_app.STD(cash.CNT_INSTALMENT)),228
147,MIN(bureau.AMT_CREDIT_SUM_DEBT),227
216,MAX(previous_app.SELLERPLACE_AREA),226
866,MIN(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),224
1103,STD(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),221
115,NAME_EDUCATION_TYPE,217
130,MEAN(previous_app.AMT_DOWN_PAYMENT),216
380,MIN(previous_app.AMT_ANNUITY),215
983,MEAN(previous_app.SUM(installments.AMT_PAYMENT)),214
295,MEAN(previous_app.RATE_DOWN_PAYMENT),212
536,MIN(bureau.DAYS_ENDDATE_FACT),210
680,MIN(previous_app.SKEW(installments.DAYS_INSTALMENT)),207
553,STD(bureau.DAYS_CREDIT_UPDATE),205
722,SKEW(previous_app.COUNT(cash)),204
370,MAX(bureau.AMT_CREDIT_MAX_OVERDUE),203
1062,SKEW(previous_app.COUNT(installments)),203
549,SKEW(previous_app.DAYS_DECISION),202
400,SKEW(installments.NUM_INSTALMENT_VERSION),202
164,MODE(previous_app.NAME_GOODS_CATEGORY),201
659,MIN(previous_app.MEAN(installments.AMT_PAYMENT)),201
113,REGION_RATING_CLIENT_W_CITY,200
386,MEAN(previous_app.DAYS_DECISION),198
452,STD(previous_app.RATE_DOWN_PAYMENT),198
980,MIN(previous_app.SKEW(installments.AMT_PAYMENT)),197
184,SUM(previous_app.SELLERPLACE_AREA),194
406,MEAN(previous_app.AMT_ANNUITY),191
89,YEARS_BEGINEXPLUATATION_MEDI,191
828,MEAN(previous_app.SKEW(installments.AMT_PAYMENT)),190
41,DEF_30_CNT_SOCIAL_CIRCLE,188
772,MIN(previous_app.MAX(installments.AMT_INSTALMENT)),187
235,MIN(bureau.DAYS_CREDIT),186
470,MAX(bureau.AMT_CREDIT_SUM_DEBT),186
167,MEAN(bureau.AMT_CREDIT_SUM_LIMIT),186
1039,MIN(previous_app.SKEW(installments.AMT_INSTALMENT)),185
150,MIN(bureau.DAYS_CREDIT_UPDATE),185
394,SKEW(previous_app.RATE_DOWN_PAYMENT),185
1313,MIN(previous_app.SUM(installments.SK_ID_CURR)),185
1018,MEAN(previous_app.SKEW(installments.NUM_INSTALMENT_NUMBER)),184
784,STD(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),182
321,SUM(bureau.AMT_CREDIT_MAX_OVERDUE),179
1390,MIN(previous_app.SKEW(cash.CNT_INSTALMENT_FUTURE)),178
695,MIN(previous_app.SUM(cash.MONTHS_BALANCE)),178
328,MIN(previous_app.AMT_GOODS_PRICE),178
402,MEAN(credit.CNT_DRAWINGS_ATM_CURRENT),177
416,SKEW(previous_app.AMT_APPLICATION),177
407,MAX(previous_app.HOUR_APPR_PROCESS_START),176
453,MAX(cash.MONTHS_BALANCE),176
214,SKEW(cash.MONTHS_BALANCE),175
1564,SUM(previous_app.SKEW(installments.AMT_PAYMENT)),175
1274,MIN(previous_app.SUM(installments.AMT_INSTALMENT)),175
496,MAX(previous_app.AMT_DOWN_PAYMENT),173
463,STD(previous_app.AMT_DOWN_PAYMENT),173
201,SUM(bureau.DAYS_CREDIT),171
814,SUM(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),169
508,STD(bureau.AMT_CREDIT_SUM_DEBT),169
786,MEAN(previous_app.SKEW(installments.AMT_INSTALMENT)),168
892,MIN(previous_app.SUM(cash.SK_ID_CURR)),167
440,NUM_UNIQUE(previous_app.CODE_REJECT_REASON),166
1318,MEAN(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),166
245,SKEW(installments.NUM_INSTALMENT_NUMBER),165
212,SKEW(bureau.AMT_CREDIT_SUM_DEBT),164
333,SKEW(previous_app.SELLERPLACE_AREA),164
629,MEAN(previous_app.SUM(cash.SK_ID_CURR)),163
679,MEAN(previous_app.SKEW(cash.CNT_INSTALMENT)),163
67,HOUR_APPR_PROCESS_START,162
1417,SUM(previous_app.MIN(installments.AMT_INSTALMENT)),161
666,MIN(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),159
175,MIN(installments.AMT_INSTALMENT),159
87,FLAG_DOCUMENT_3,159
299,MEAN(cash.CNT_INSTALMENT_FUTURE),156
56,BASEMENTAREA_AVG,155
1201,MAX(previous_app.MIN(installments.AMT_PAYMENT)),155
411,STD(bureau.AMT_CREDIT_MAX_OVERDUE),155
415,STD(bureau.AMT_CREDIT_SUM),154
1657,MEAN(previous_app.MIN(installments.AMT_INSTALMENT)),154
461,SUM(previous_app.HOUR_APPR_PROCESS_START),154
1080,MAX(previous_app.SKEW(installments.AMT_PAYMENT)),153
248,MAX(previous_app.AMT_CREDIT),152
28,LANDAREA_MODE,151
193,SUM(cash.SK_ID_CURR),151
388,SKEW(previous_app.AMT_ANNUITY),149
192,MEAN(previous_app.NFLAG_INSURED_ON_APPROVAL),147
