STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100101,40.8,9.6,45.6,36.0,6.1,3.8,6.1,6.6
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100102,40.9,9.6,45.7,36.1,6.1,3.8,6.1,6.6
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100103,41.0,9.6,45.8,36.2,6.0,3.9,6.1,6.6
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100104,41.1,9.6,45.9,36.3,6.0,3.9,6.0,6.6
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100105,41.2,9.6,46.0,36.4,6.0,3.9,6.0,6.5
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100106,41.3,9.6,46.1,36.5,5.9,3.9,6.0,6.5
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100107,41.4,9.6,46.2,36.6,5.9,3.9,5.9,6.5
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100108,41.5,9.7,46.3,36.6,5.9,4.0,5.9,6.5
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100109,41.6,9.7,46.4,36.7,5.8,4.0,5.9,6.4
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100110,41.7,9.7,46.5,36.8,5.8,4.0,5.9,6.4
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100111,41.8,9.8,46.7,36.9,5.8,4.0,5.8,6.4
