"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2010-12-30","7.16"," 2356"," 2355","0.00","0.0","0",,"36","25","  320","  320","21.9","30.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2010-12-31","4.92"," 2357"," 2357","0.00","0.0","0",,"37","21","  100","   90","13.0","17.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-01","5.37"," 2357"," 2357","0.00","0.0","0",,"40","26","  100","   90","13.0","17.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-02","6.26"," 1951"," 1953","0.00","0.0","0",,"39","25","   20","   20","15.0","17.9",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-03","5.59"," 0508"," 0500","0.00","0.0","0",,"42","27","   30","   30","13.0","15.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-04","3.80"," 1856"," 1435","0.03","0.0","0",,"38","28","  150","  200","12.1","23.9","    1",,,,,"    1",,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-05","4.92"," 2148"," 2147","0.12","0.0","0",,"45","35","  190","  190","12.1","15.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-06","8.72"," 1846"," 1846","0.17","0.0","0",,"49","44","  180","  190","16.1","19.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-07","10.96"," 1450"," 1433","0.37","0.0","0",,"48","37","  210","  220","21.0","29.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-08","5.82"," 2305"," 1804","0.03","0.0","0",,"40","34","  180","  190","10.1","14.1","    1",,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-09","5.59"," 1614"," 1616","0.02","0.0","0",,"39","31","  350","  350","16.1","17.9","    1",,,,,,,"    1",,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-10","8.72"," 2224"," 2319","0.00","0.0","0",,"38","30","  110","   90","17.9","21.9",,,,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-11","11.18"," 2138"," 2137","0.30","2.8","0",,"39","30","  110","  110","21.9","28.0","    1",,,,,,,"    1",,,,"    1",,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-12","10.29"," 1432"," 1431","0.81","0.0","0",,"47","33","  220","  220","25.1","31.1","    1",,,,,,,"    1",,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-13","11.86"," 2000"," 1939","0.82","0.0","0",,"53","43","  210","  220","21.0","30.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-14","13.42"," 1739"," 1653","0.29","0.0","0",,"54","49","  230","  220","21.9","33.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-15","8.05"," 2211"," 2041","0.45","0.0","0",,"52","47","  200","  210","16.1","23.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-16","17.00"," 2027"," 1809","0.27","0.0","0",,"55","50","  210","  200","29.1","40.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-17","15.88"," 1417"," 0829","0.04","0.0","0",,"50","42","  220","  200","25.9","36.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-18","7.83"," 2101"," 2100","0.08","0.0","0",,"42","37","   40","   40","16.1","21.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-19","3.13"," 2346"," 2106","0.00","0.0","0",,"45","35","  140","   40","8.1","12.1",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-20","6.93"," 1305"," 1402","0.05","0.0","0",,"44","33","  160","  140","14.1","17.0","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-21","11.63"," 1157"," 1156","0.51","0.0","0",,"49","44","  210","  210","23.9","31.1","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-22","4.47"," 2222"," 0058","0.00","0.0","0",,"49","40","  130","  190","12.1","14.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-23","3.58"," 2250"," 2249","0.04","0.0","0",,"46","41","  120","  120","8.9","12.1","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-24","7.16"," 2039"," 2038","0.21","0.0","0",,"48","44","  190","  180","17.0","21.9","    1","    1",,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-25","5.37"," 0118"," 2359","0.00","0.0","0",,"50","43","  210","  220","14.1","17.9","    1",,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-26","2.01"," 0801"," 0800","0.00","0.0","0",,"54","39","  120","  120","12.1","13.0","    1","    1",,,,,,"    1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-27","2.24"," 2216"," 2216","0.00","0.0","0",,"50","37","  120","  130","12.1","13.0","    1","    1",,,,,,"    1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-28","9.17"," 1517"," 1517","0.14","0.0","0",,"52","39","  200","  190","17.9","23.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-29","7.61"," 2350"," 0015","0.24","0.0","0",,"48","43","  340","  210","13.0","17.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-30","10.74"," 0440"," 0439","0.00","0.0","0",,"44","37","  360","  360","17.9","21.9","    1",,,,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-01-31","8.28"," 1848"," 1843","0.00","0.0","0",,"44","34","   30","   30","14.1","17.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-01","7.16"," 0904"," 0613","0.00","0.0","0",,"46","32","   90","   90","14.1","19.9",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-02","2.91"," 2323"," 2233","0.00","0.0","0",,"51","29","  140","  120","10.1","13.0",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-03","10.51"," 1532"," 1536","0.01","0.0","0",,"49","39","  200","  200","23.0","28.0",,,,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2011-02-04","14.76"," 1429"," 1405","0.07","0.0","0",,"50","45","  210","  220","29.1","38.0","    1",,,,,,,"    1","    1","    1",,,,
